superlative,Condition,Language,Message
False,closer/close,Chinese,不是任何一个接近绿色的颜色
False,closer/close,Chinese,土色，泛黄 泛绿
False,closer/close,Chinese,不是橘色 也不是那个带橘红的土色
False,closer/close,Chinese,冷色调一些
False,further/split,Chinese,绿色， 深绿
False,equal/far,Chinese,红色
False,equal/far,Chinese,土橘黄色
False,equal/far,Chinese,紫色
False,equal/far,Chinese,红色
False,further/split,Chinese,土色， 
False,further/split,Chinese,蓝色
False,further/split,Chinese,深蓝
False,closer/close,Chinese,粉色
False,equal/far,Chinese,粉色
False,equal/far,Chinese,粉红
False,closer/close,Chinese,土绿色
False,closer/close,Chinese,深紫色
False,closer/close,Chinese,深
False,closer/close,Chinese,紫色
False,closer/close,Chinese,任意一个土色
False,closer/close,Chinese,任意?
False,closer/close,Chinese,怎么描述这个都对不了
False,closer/close,Chinese,深一些
False,closer/close,Chinese,的
False,equal/far,Chinese,粉红
False,closer/close,Chinese,艳红
False,closer/close,Chinese,超级亮 红色
True,closer/close,Chinese,暗绿色 但不是最灰色的那个
False,equal/far,Chinese,灰色
False,further/split,Chinese,绿色但不太绿
False,further/split,Chinese,红色与浅紫色
False,further/split,Chinese,浅紫色
False,closer/close,Chinese,浅紫色
False,closer/close,Chinese,黑暗
False,equal/far,Chinese,绿色
False,equal/far,Chinese,灰绿色
False,closer/close,Chinese,紫色
False,closer/close,Chinese,明亮的紫色
False,closer/close,Chinese,橙子
False,further/split,Chinese,森林绿色
False,closer/close,Chinese,灰色
False,equal/far,Chinese,玫瑰紫色
False,further/split,Chinese,紫色
False,further/split,Chinese,黑暗
False,closer/close,Chinese,绿色
False,closer/close,Chinese,黑
False,closer/close,Chinese,森林绿色
False,equal/far,Chinese,紫色
False,closer/close,Chinese,灰色
False,equal/far,Chinese,棕色
False,closer/close,Chinese,浅绿色
False,closer/close,Chinese,透亮
False,further/split,Chinese,透亮绿色
False,equal/far,Chinese,橙子
False,closer/close,Chinese,绿
False,closer/close,Chinese,品绿
False,closer/close,Chinese,是
False,equal/far,Chinese,蓝色
False,further/split,Chinese,紫色
False,further/split,Chinese,蓝色
False,further/split,Chinese,蓝色
False,further/split,Chinese,紫色
False,further/split,Chinese,暗
False,equal/far,Chinese,红
False,closer/close,Chinese,绿色
False,closer/close,Chinese,亮
False,closer/close,Chinese,深绿色
False,equal/far,Chinese,紫色
False,closer/close,Chinese,蓝绿
False,closer/close,Chinese,深紫色
False,further/split,Chinese,深灰色
False,further/split,Chinese,亮蓝色
False,further/split,Chinese,深灰色
False,further/split,Chinese,深灰色
False,equal/far,Chinese,黄色
False,closer/close,Chinese,绿色
False,closer/close,Chinese,绿色
False,closer/close,Chinese,蓝
False,closer/close,Chinese,亮
False,equal/far,Chinese,灰色
False,closer/close,Chinese,灰
False,closer/close,Chinese,棕色
False,closer/close,Chinese,绿色
False,equal/far,Chinese,棕色
False,further/split,Chinese,叶子脱落的颜色
False,equal/far,Chinese,灰色
False,equal/far,Chinese,橙子
False,equal/far,Chinese,暗
False,equal/far,Chinese,灰色
False,further/split,Chinese,不是紫色和蓝色
False,equal/far,Chinese,黄绿色
False,equal/far,Chinese,蓝色
False,further/split,Chinese,爱
False,equal/far,Chinese,玫瑰
False,closer/close,Chinese,爱
False,equal/far,Chinese,明亮
False,equal/far,Chinese,草
False,equal/far,Chinese, 明亮
False,further/split,Chinese,亮
False,closer/close,Chinese,亮
False,further/split,Chinese,叶子
False,closer/close,Chinese,天空蓝
False,further/split,Chinese,蓝色
False,closer/close,Chinese,紫
False,closer/close,Chinese,天空蓝
False,equal/far,Chinese,黄色
False,further/split,Chinese,亮绿
False,equal/far,Chinese,深绿
False,closer/close,Chinese,深绿
False,further/split,Chinese,蓝
False,further/split,Chinese,灰
False,further/split,Chinese,紫
False,further/split,Chinese,亮蓝
False,closer/close,Chinese,土绿
False,closer/close,Chinese,深紫
False,equal/far,Chinese,蓝
False,further/split,Chinese,亮绿
False,equal/far,Chinese,灰色
False,further/split,Chinese,亮蓝
False,equal/far,Chinese,蓝
False,equal/far,Chinese,亮蓝
False,equal/far,Chinese,蓝
False,closer/close,Chinese,亮灰
False,closer/close,Chinese,蓝绿
False,equal/far,Chinese,蓝
False,closer/close,Chinese,次亮绿
False,equal/far,Chinese,红
False,further/split,Chinese,紫
False,further/split,Chinese,深蓝
False,equal/far,Chinese,蓝
False,further/split,Chinese,介于土色和绿色
False,further/split,Chinese,土色偏黄
False,further/split,Chinese,蓝
False,closer/close,Chinese,紫
False,equal/far,Chinese,粉红
False,closer/close,Chinese,蓝绿
False,equal/far,Chinese,蓝
False,further/split,Chinese,土紫
False,closer/close,Chinese,蓝绿色偏黄
False,equal/far,Chinese,绿
False,further/split,Chinese,亮绿
False,closer/close,Chinese,暗绿偏黄
False,equal/far,Chinese,绿
False,equal/far,Chinese,红
False,equal/far,Chinese,紫
False,closer/close,Chinese,灰蓝
False,further/split,Chinese,荧光蓝
False,closer/close,Chinese,深蓝
False,closer/close,Chinese,亮绿
False,closer/close,Chinese,灰
False,equal/far,Chinese,太阳
False,closer/close,Chinese,光
False,closer/close,Chinese,黑暗
False,closer/close,Chinese,砂
False,further/split,Chinese,黑暗
False,equal/far,Chinese,光
False,equal/far,Chinese,草
False,further/split,Chinese,亮
False,equal/far,Chinese,天空
False,equal/far,Chinese,树叶
False,further/split,Chinese,亮
False,closer/close,Chinese,少女的
False,equal/far,Chinese,你好
False,equal/far,Chinese,你好
False,equal/far,Chinese,不是蓝色和绿色
False,equal/far,Chinese,还在吗
False,equal/far,Chinese,在
False,equal/far,Chinese,选紫色
False,further/split,Chinese,选棕色
False,closer/close,Chinese,错了
False,closer/close,Chinese,请描述颜色
False,closer/close,Chinese,咖啡色
False,closer/close,Chinese,本轮都是绿色，没有咖啡色
False,closer/close,Chinese,是深绿色吗？
False,closer/close,Chinese,不好意思
False,closer/close,Chinese,翠绿色
False,equal/far,Chinese,灰色
False,closer/close,Chinese,嫩绿色
False,further/split,Chinese,蓝色
False,equal/far,Chinese,紫色
False,equal/far,Chinese,蓝色
False,closer/close,Chinese,红色
False,closer/close,Chinese,大红？
False,closer/close,Chinese,嗯
False,equal/far,Chinese,紫色
False,equal/far,Chinese,有微信吗？呵呵
False,equal/far,Chinese,有
False,equal/far,Chinese,加一下？
False,equal/far,Chinese,行
False,equal/far,Chinese,微信号？我加你
False,further/split,Chinese,翠绿
False,equal/far,Chinese,没收到微信号 重发一下
False,equal/far,Chinese,灰色
False,equal/far,Chinese,ling3-3
False,equal/far,Chinese,绿色
False,equal/far,Chinese,微信号不存在 你加我吧
False,equal/far,Chinese,alanwang_1988
False,equal/far,Chinese,绿色
False,further/split,Chinese,棕色
False,further/split,Chinese,偏黄色吗？
False,further/split,Chinese,偏红的
False,further/split,Chinese,紫色
False,closer/close,Chinese,嫩绿色
True,closer/close,Chinese,最亮的绿色？
False,closer/close,Chinese,中间色
False,equal/far,Chinese,紫红色？
False,further/split,Chinese,蓝色
False,further/split,Chinese,比较深的绿
False,equal/far,Chinese,蓝色
False,further/split,Chinese,蓝色
False,closer/close,Chinese,暗紫色？
False,closer/close,Chinese,深紫色
False,closer/close,Chinese,偏红的棕色
False,closer/close,Chinese,有两种偏红的棕色，是比较深还是比较浅的那个？
False,closer/close,Chinese,偏橙色的
False,equal/far,Chinese,灰色
False,closer/close,Chinese,较暗的绿色
False,further/split,Chinese,偏亮的绿色
False,closer/close,Chinese,蓝色
False,further/split,Chinese,紫红色
False,further/split,Chinese,偏红的
False,further/split,Chinese,棕色
False,further/split,Chinese,紫色
False,further/split,Chinese,绿色
False,equal/far,Chinese,灰色
False,equal/far,Chinese,紫色
False,equal/far,Chinese,绿色
False,closer/close,Chinese,蓝色
False,closer/close,Chinese,较深的嫩绿
False,further/split,Chinese,偏棕的黄
False,closer/close,Chinese,灰色
False,equal/far,Chinese,黄色
False,closer/close,Chinese,较灰的
False,closer/close,Chinese,宝蓝色
False,equal/far,Chinese,黄色
False,equal/far,Chinese,灰色
False,closer/close,Chinese,偏红的
False,closer/close,Chinese,枣红色？
False,closer/close,Chinese,紫色
False,closer/close,Chinese,偏红的
False,further/split,Chinese,偏暗的绿
False,further/split,Chinese,hi
False,further/split,Chinese,是什么颜色
False,further/split,Chinese,深绿
False,further/split,Chinese,亮绿
False,closer/close,Chinese,亮土黄
False,closer/close,Chinese,亮紫
False,closer/close,Chinese,厉害啊
False,closer/close,Chinese,紫
False,equal/far,Chinese,你也厉害啊
False,equal/far,Chinese,呵呵画家的女儿
False,equal/far,Chinese,深土色
False,further/split,Chinese,失敬失敬
False,further/split,Chinese,比较绿色的绿
False,equal/far,Chinese,偏棕色
False,equal/far,Chinese,紫
False,equal/far,Chinese,灰
False,equal/far,Chinese,黄
False,equal/far,Chinese,绿
False,further/split,Chinese,暗绿
False,equal/far,Chinese,蓝
False,further/split,Chinese,这个难。。。
False,further/split,Chinese,排除
False,further/split,Chinese,不是亮蓝
False,further/split,Chinese,不是灰蓝
False,closer/close,Chinese,厉害啊
False,closer/close,Chinese,开始难了
False,closer/close,Chinese,碘色
False,closer/close,Chinese,不认的
False,closer/close,Chinese,没到紫
False,closer/close,Chinese,介于蓝跟紫
False,further/split,Chinese,啊.
False,further/split,Chinese,一分钱没了 哈哈哈哈
False,further/split,Chinese,哈哈哈
False,further/split,Chinese,没关系
False,further/split,Chinese,灰蓝
False,closer/close,Chinese,哇。。。
False,closer/close,Chinese,有点发绿，特别棕，和黄棕色
False,closer/close,Chinese,不是那个绿
False,closer/close,Chinese,算特别棕吧。比较深色那个
False,equal/far,Chinese,默契啊。。。
False,equal/far,Chinese,感觉快到五十度灰色了。。。。。。。
False,equal/far,Chinese,红
False,further/split,Chinese,比较亮的绿
False,closer/close,Chinese,不是亮粉红
False,closer/close,Chinese,比较亮的紫
False,further/split,Chinese,蓝
False,closer/close,Chinese,偏桃红
False,equal/far,Chinese,蓝
False,further/split,Chinese,灰
False,further/split,Chinese,偏粉红
False,equal/far,Chinese,亮绿
True,closer/close,Chinese,最亮蓝
False,equal/far,Chinese,深蓝
False,closer/close,Chinese,有点接近荧光绿的亮绿
False,closer/close,Chinese,不是正绿色的那个
False,closer/close,Chinese,不是橄榄暗绿色的那个
False,closer/close,Chinese,比较不像叶子色
True,closer/close,Chinese,最浅的那个？
False,equal/far,Chinese,厉害厉害
False,equal/far,Chinese,红
False,equal/far,Chinese,紫
False,further/split,Chinese,土黄
False,equal/far,Chinese,蓝
False,further/split,Chinese,灰蓝
False,closer/close,Chinese,又是那个荧光绿
False,closer/close,Chinese,发蓝的那个
False,closer/close,Chinese,不是
False,further/split,Chinese,偏粉红紫
False,further/split,Chinese,亮的还是那个暗的
False,further/split,Chinese,亮的
False,closer/close,Chinese,蓝色
False,closer/close,Chinese,有点带土色的绿
False,further/split,Chinese,蓝色
False,closer/close,Chinese,紫色
False,further/split,Chinese,紫色
False,equal/far,Chinese,荧光绿
False,further/split,Chinese,亮的
False,further/split,Chinese,荧光粉红
False,further/split,Chinese,心有灵犀一点通
False,closer/close,Chinese,默契真好
False,closer/close,Chinese,灰紫色
False,closer/close,Chinese,粉色，灰粉色，大紫色
False,closer/close,Chinese,大紫色
False,closer/close,Chinese,亮紫色
True,further/split,Chinese,最亮的浅蓝色
False,equal/far,Chinese,暗紫色
False,closer/close,Chinese,灰色
False,closer/close,Chinese,哈哈哈哈
False,closer/close,Chinese,紫色
False,further/split,Chinese,两同色中较浅
False,equal/far,Chinese,水泥
False,closer/close,Chinese,基佬
False,closer/close,Chinese,天空
False,closer/close,Chinese,我有兩個都是天空的
False,closer/close,Chinese,明度高
False,closer/close,Chinese,暗淡
False,closer/close,Chinese,你的形容很好
False,closer/close,Chinese,俩类似中较明亮
False,further/split,Chinese,草地
False,closer/close,Chinese,折中
False,closer/close,Chinese,可否給多些提示
False,closer/close,Chinese,暗草地
False,further/split,Chinese,水泥
False,closer/close,Chinese,水泥
False,closer/close,Chinese,阴天
False,closer/close,Chinese,花
False,equal/far,Chinese,基佬
False,equal/far,Chinese,晴天
False,closer/close,Chinese,基佬
False,further/split,Chinese,明亮
False,equal/far,Chinese,明亮
False,further/split,Chinese,暗淡
False,equal/far,Chinese,基佬
False,closer/close,Chinese,我色盲了= =
False,closer/close,Chinese,稍等
False,closer/close,Chinese,是否有灰色…
False,closer/close,Chinese,有
False,closer/close,Chinese,还是水泥吧
False,closer/close,Chinese,較淺或較深?
False,closer/close,Chinese,偏暖
False,equal/far,Chinese,天
False,equal/far,Chinese,草地
False,further/split,Chinese,广场舞大妈
False,closer/close,Chinese,温暖
False,closer/close,Chinese,是否紅色多些?
False,closer/close,Chinese,是
False,further/split,Chinese,和刚才一样
False,further/split,Chinese,天?
False,further/split,Chinese,否
False,further/split,Chinese,草?
False,further/split,Chinese,否
False,further/split,Chinese,花
False,further/split,Chinese,鲜艳的
False,equal/far,Chinese,土
False,further/split,Chinese,明亮的草地
False,closer/close,Chinese,明亮的基佬
False,closer/close,Chinese,草地
False,further/split,Chinese,天
False,further/split,Chinese,兩個差不多啊
False,further/split,Chinese,更鲜艳的
False,closer/close,Chinese,折中
False,closer/close,Chinese,不对
False,equal/far,Chinese,草地
False,closer/close,Chinese,温暖
False,closer/close,Chinese,有否多些紅色
False,closer/close,Chinese,是
False,equal/far,Chinese,天
False,further/split,Chinese,不是草地 不是基佬
False,closer/close,Chinese,湖水
False,closer/close,Chinese,比较小清新
False,equal/far,Chinese,广场舞大妈
False,further/split,Chinese,小清新
True,closer/close,Chinese,最亮的
False,equal/far,Chinese,暗淡
False,equal/far,Chinese,的水泥
False,further/split,Chinese,花
False,equal/far,Chinese,明亮的湖水
False,equal/far,Chinese,基佬
False,further/split,Chinese,草地
False,equal/far,Chinese,草地
False,equal/far,Chinese,基佬
False,further/split,Chinese,暗淡的大妈
False,further/split,Chinese,哈哈
False,equal/far,Chinese,基佬
False,equal/far,Chinese,什么外线？
False,equal/far,Chinese,外线的颜色
False,closer/close,Chinese,土的颜色
False,closer/close,Chinese,沒有土的顏色啊
True,closer/close,Chinese,最接近土
True,closer/close,Chinese,最接近草的颜色
False,equal/far,Chinese,草的颜色
False,equal/far,Chinese,是天?
False,equal/far,Chinese,不是草的颜色
False,equal/far,Chinese,接近外线
False,equal/far,Chinese,有否帶灰?
False,equal/far,Chinese,但浅的
False,equal/far,Chinese,深或淺?
False,equal/far,Chinese,颜色不接近草根天空
False,closer/close,Chinese,接近天空
False,further/split,Chinese,是否草色?
False,further/split,Chinese,深或淺?
False,further/split,Chinese,浅一点
False,equal/far,Chinese,外线
False,equal/far,Chinese,有否土色?
False,equal/far,Chinese,没有
False,equal/far,Chinese,有否紅色?
False,equal/far,Chinese,也不是草的颜色
False,equal/far,Chinese,大媽色?
False,equal/far,Chinese,是
False,further/split,Chinese,有不土色?
False,further/split,Chinese,不是土色
False,further/split,Chinese,不是鲜艳的颜色
False,further/split,Chinese,不是草
False,further/split,Chinese,应该接近蓝
False,further/split,Chinese,草?
False,further/split,Chinese,带点灰
False,further/split,Chinese,多些紅?
False,further/split,Chinese,不是
False,further/split,Chinese,鲜艳的草色
True,closer/close,Chinese,最鲜艳的颜色
False,closer/close,Chinese,不是灰
False,closer/close,Chinese,可是接近灰
False,closer/close,Chinese,接近紫色
False,closer/close,Chinese,接近土
False,equal/far,Chinese,不是天
False,equal/far,Chinese,不是鲜艳的颜色
False,further/split,Chinese,鲜艳的草的颜色
True,further/split,Chinese,最接近红
True,closer/close,Chinese,最接近草
False,closer/close,Chinese,我看全是草色?
False,closer/close,Chinese,深或淺?
True,closer/close,Chinese,最鲜的草色
False,equal/far,Chinese,青
False,equal/far,Chinese,绿色
True,equal/far,Chinese,最鲜艳的草色
False,equal/far,Chinese,绿色
False,further/split,Chinese,太阳的颜色
False,equal/far,Chinese,粉色
False,closer/close,Chinese,不是灰
False,closer/close,Chinese,不是紫
False,equal/far,Chinese,鲜绿色
False,closer/close,Chinese,绿色
False,closer/close,Chinese,哪一个
False,closer/close,Chinese,暗
False,equal/far,Chinese,紫色
False,closer/close,Chinese,绿色
False,closer/close,Chinese,鲜
False,equal/far,Chinese,绿色
False,closer/close,Chinese,接近小小兵的颜色
False,closer/close,Chinese,兩個都不像小小兵
False,closer/close,Chinese,多些土色?
False,closer/close,Chinese,比较没有土
False,further/split,Chinese,鮮草?
False,further/split,Chinese,不鲜艳的草色
False,further/split,Chinese,紫色
False,further/split,Chinese,較灰的紫?
False,further/split,Chinese,不鲜艳，带点粉
False,further/split,Chinese,是
False,further/split,Chinese,較灰的紫?
False,further/split,Chinese,另外一个
False,equal/far,Chinese,草?
False,equal/far,Chinese,天?
False,equal/far,Chinese,是
False,equal/far,Chinese,草
True,closer/close,Chinese,最接近天
False,further/split,Chinese,草?土?灰?
False,further/split,Chinese,不灰不草
False,further/split,Chinese,蓝色有点灰色
True,closer/close,Chinese,最深
False,closer/close,Chinese,不带灰
False,equal/far,Chinese,棕色
True,equal/far,Chinese,最接近太阳的颜色
False,closer/close,Chinese,不是草
False,equal/far,Chinese,蓝色
False,further/split,Chinese,棕色
False,equal/far,Chinese,不是草
False,equal/far,Chinese,多些灰?
True,equal/far,Chinese,最接近紫
True,closer/close,Chinese,最鲜的绿
False,closer/close,Chinese,蓝色
False,closer/close,Chinese,不明亮
False,equal/far,Chinese,蓝色
False,closer/close,Chinese,不接近天
False,further/split,Chinese,鲜绿色
True,further/split,Chinese,最鲜
False,further/split,Chinese,的颜色
True,closer/close,Chinese,最灰的颜色
False,further/split,Chinese,灰色
False,further/split,Chinese,暗
False,equal/far,Chinese,不接近草
False,equal/far,Chinese,也不接近红
False,equal/far,Chinese,不是草
False,equal/far,Chinese,完全不带草的颜色
False,equal/far,Chinese,天?
False,equal/far,Chinese,也不是
False,closer/close,Chinese,紫色
False,further/split,Chinese,不接近草跟天
False,further/split,Chinese,灰?天?湖?
False,further/split,Chinese,不接近湖
False,closer/close,Chinese,較鮮?
False,closer/close,Chinese,不鲜
True,equal/far,Chinese,最接近天
False,further/split,Chinese,土?草?天?
False,further/split,Chinese,天
False,equal/far,Chinese,天?紫?土?
False,equal/far,Chinese,紫
False,further/split,Chinese,鮮紅?灰?淺紅?
False,further/split,Chinese,鲜红
False,further/split,Chinese,紫色有点蓝
False,equal/far,Chinese,不草也不红
False,closer/close,Chinese,浅紫色
False,equal/far,Chinese,不红也不草
False,equal/far,Chinese,粉色
False,equal/far,Chinese,紫色
False,further/split,Chinese,灰色
False,closer/close,Chinese,灰色
False,closer/close,Chinese,暗
False,equal/far,Chinese,棕色
False,further/split,Chinese,灰色
False,equal/far,Chinese,天蓝色
False,closer/close,Chinese,灰
False,closer/close,Chinese,鲜绿色
False,closer/close,Chinese,紫色
False,further/split,Chinese,绿色
False,further/split,Chinese,鲜绿色
False,further/split,Chinese,紫
False,further/split,Chinese,灰
False,equal/far,Chinese,鲜绿色
False,closer/close,Chinese,绿
False,closer/close,Chinese,黄
False,further/split,Chinese,绿色
False,further/split,Chinese,树色
False,further/split,Chinese,树的颜色
False,closer/close,Chinese,紫
False,further/split,Chinese,绿
False,equal/far,Chinese,玫瑰红
False,closer/close,Chinese,玫瑰红
False,further/split,Chinese,绿色
False,further/split,Chinese,暗
False,equal/far,Chinese,红
False,further/split,Chinese,绿
False,further/split,Chinese,红
False,further/split,Chinese,玫瑰
False,equal/far,Chinese,蓝
False,closer/close,Chinese,紫棕色
False,closer/close,Chinese,紫
False,closer/close,Chinese,粉
False,equal/far,Chinese,蓝色
False,further/split,Chinese,绿
False,further/split,Chinese,暗
False,closer/close,Chinese,暗绿色
False,closer/close,Chinese,你好
False,closer/close,Chinese,正灰色
False,closer/close,Chinese,你好
False,closer/close,Chinese,偏黄
False,closer/close,Chinese,啊知道了
True,further/split,Chinese,最亮最浅的蓝绿色
False,equal/far,Chinese,都对了吗
False,equal/far,Chinese,绿色
False,equal/far,Chinese,绿框就是对了~ 目前都对
False,equal/far,Chinese,哦哦 好的我们加油
False,equal/far,Chinese,绿色
False,further/split,Chinese,蓝
False,equal/far,Chinese,紫
False,equal/far,Chinese,棕色
False,equal/far,Chinese,你是大陆人吗
False,equal/far,Chinese,是
False,equal/far,Chinese,我不是 如果有地方不明白请见谅 哈哈哈
False,further/split,Chinese,紫色
True,further/split,Chinese,没关系，我会尽量用最极端最简单的方式描述颜色
False,further/split,Chinese,好的
False,closer/close,Chinese,亮绿
False,equal/far,Chinese,灰蓝
False,equal/far,Chinese,这玩意不错
False,equal/far,Chinese,你应该不是第一次把
False,equal/far,Chinese,嗯我上次是倾听者
False,equal/far,Chinese,玩好了他们还邀请你玩儿
False,equal/far,Chinese,还给奖金哈哈哈
False,equal/far,Chinese,哈哈哈哈 你是透过什么网站玩的
False,equal/far,Chinese,我就是用亚马逊的
False,equal/far,Chinese,偶尔上来看看做一些小任务
False,equal/far,Chinese,那我们都是一样的吧
False,equal/far,Chinese,灰色
False,further/split,Chinese,正紫色
False,equal/far,Chinese,绿色
False,closer/close,Chinese,亮荧光绿
False,further/split,Chinese,绿色
False,further/split,Chinese,猜对了哈哈哈
False,closer/close,Chinese,正紫色，不发粉，不发灰
False,closer/close,Chinese,这个难倒我了
False,closer/close,Chinese,==
False,closer/close,Chinese,如果你看紫色程度，中间的那个
False,closer/close,Chinese,对了哈哈哈哈
False,closer/close,Chinese,发灰的紫色
False,closer/close,Chinese,慢慢就有默契了
False,closer/close,Chinese,灰蓝色，不是正蓝
False,further/split,Chinese,绿色
True,closer/close,Chinese,最亮的绿
False,further/split,Chinese,粉色
False,further/split,Chinese,大粉色
False,equal/far,Chinese,绿色
False,equal/far,Chinese,也不知道他们研究这个要干嘛
False,equal/far,Chinese,斯坦福
False,equal/far,Chinese,好奇怪
False,equal/far,Chinese,肯定各种人工智能，和语言沟通有关
False,equal/far,Chinese,看见我们说有的没的烦死了哈哈哈哈
False,equal/far,Chinese,哈哈哈
False,equal/far,Chinese,大哥你怎么称呼
False,equal/far,Chinese,大姐~ 叫我小曼
False,equal/far,Chinese,啊对不起哈哈哈
