tokens,Condition,Language,Message
2,further/split,Chinese,接近地
2,further/split,Chinese,的颜色
1,further/split,Chinese,灰色
3,equal/far,Chinese,树的颜色
1,closer/close,Chinese,冷色
3,further/split,Chinese,草的颜色
1,equal/far,Chinese,肉桂
3,further/split,Chinese,深色的血液
1,closer/close,Chinese,深海
3,further/split,Chinese,女士 高雅
1,equal/far,Chinese,龙
1,further/split,Chinese,土地
1,closer/close,Chinese,最深
1,further/split,Chinese,艳丽
3,further/split,Chinese,两种稍微深些
1,further/split,Chinese,暗些
1,equal/far,Chinese,土地
2,closer/close,Chinese,不同的
1,closer/close,Chinese,明亮
1,equal/far,Chinese,暗
3,closer/close,Chinese,两同色中暗些
1,closer/close,Chinese,深
1,equal/far,Chinese,暗些
1,equal/far,Chinese,大海
2,further/split,Chinese,中老年女
1,further/split,Chinese,土地
1,further/split,Chinese,明亮
1,closer/close,Chinese,暗色
1,equal/far,Chinese,基佬
1,further/split,Chinese,暗
1,closer/close,Chinese,暗
1,equal/far,Chinese,女士
4,further/split,Chinese,两色中明亮一些
1,equal/far,Chinese,大海
1,equal/far,Chinese,基佬
1,equal/far,Chinese,明亮
3,closer/close,Chinese,土地 深些
1,further/split,Chinese,中暗
1,closer/close,Chinese,暗色
1,equal/far,Chinese,女士
3,further/split,Chinese,两同色中暗些
2,further/split,Chinese,明亮树
3,closer/close,Chinese,树 暗些
1,closer/close,Chinese,土地
3,closer/close,Chinese,女士 明亮
4,further/split,Chinese,树 明亮些
1,equal/far,Chinese,天空
1,equal/far,Chinese,血液
1,closer/close,Chinese,大海
1,equal/far,Chinese,暗些
1,closer/close,Chinese,土地
1,equal/far,Chinese,橙子
1,closer/close,Chinese,最深
4,equal/far,Chinese,不是树不是天空
1,equal/far,Chinese,浅海
1,further/split,Chinese,天空
1,further/split,Chinese,大海
3,closer/close,Chinese,最深的色
2,equal/far,Chinese,请描述
5,equal/far,Chinese,仍然没看到任何描述
8,closer/close,Chinese,演说者了解他/她的任务吗
1,equal/far,Chinese,红色
1,further/split,Chinese,绿色
1,equal/far,Chinese,黄色
3,closer/close,Chinese,红绿灯的绿色
3,further/split,Chinese,红绿灯的绿色
1,equal/far,Chinese,红
8,further/split,Chinese,不是蓝色也不是粉红色的那个颜色
2,further/split,Chinese,猪肝色吗
3,further/split,Chinese,哈哈是的
5,closer/close,Chinese,最接近黄色的那个
1,closer/close,Chinese,墨绿色
1,equal/far,Chinese,蓝色
1,further/split,Chinese,橙色
5,further/split,Chinese,不是紫色也不是灰色
3,closer/close,Chinese,最亮的红色
2,closer/close,Chinese,粉红色吗
2,closer/close,Chinese,是的
1,equal/far,Chinese,灰色
1,further/split,Chinese,墨绿
5,further/split,Chinese,带青色或带蓝色
1,further/split,Chinese,青色
1,equal/far,Chinese,深蓝色
1,further/split,Chinese,土黄色
1,further/split,Chinese,猪肝色
4,closer/close,Chinese,程度居中的绿色
1,further/split,Chinese,墨绿色
1,further/split,Chinese,土黄色
4,further/split,Chinese,黄色较浓吗
1,further/split,Chinese,较淡
1,equal/far,Chinese,灰色
1,closer/close,Chinese,蓝灰色
1,equal/far,Chinese,墨绿色
1,closer/close,Chinese,紫色
5,closer/close,Chinese,带红色或带蓝色
2,closer/close,Chinese,带蓝色
6,closer/close,Chinese,和上一题一样的颜色
1,further/split,Chinese,大红
1,further/split,Chinese,灰色
5,equal/far,Chinese,不是红色也不是蓝色
1,further/split,Chinese,墨绿色
1,equal/far,Chinese,灰色
1,closer/close,Chinese,猪肝
1,equal/far,Chinese,浅绿色
1,closer/close,Chinese,蓝绿色
3,closer/close,Chinese,蓝较多吗
2,closer/close,Chinese,较少
1,further/split,Chinese,紫色
1,closer/close,Chinese,蓝色
1,equal/far,Chinese,黄色
1,equal/far,Chinese,绿色
2,closer/close,Chinese,黄色最少
1,further/split,Chinese,蓝色
1,equal/far,Chinese,红色
1,equal/far,Chinese,红色
1,further/split,Chinese,红色
1,closer/close,Chinese,黄
1,closer/close,Chinese,浅绿色
1,further/split,Chinese,蓝色
1,closer/close,Chinese,粉红
4,closer/close,Chinese,深一点的蓝色
1,further/split,Chinese,紫色
1,further/split,Chinese,灰绿色
1,equal/far,Chinese,灰色
1,equal/far,Chinese,绿色
1,closer/close,Chinese,灰黄色
1,equal/far,Chinese,紫色
2,closer/close,Chinese,暗粉色
1,closer/close,Chinese,亮
1,closer/close,Chinese,红色
1,further/split,Chinese,金黄色
2,closer/close,Chinese,暗粉色
3,closer/close,Chinese,暗粉红色吗
1,closer/close,Chinese,是
1,further/split,Chinese,黄色
1,further/split,Chinese,紫色
1,equal/far,Chinese,绿色
1,equal/far,Chinese,天蓝色
1,further/split,Chinese,浅绿色
1,further/split,Chinese,蓝紫色
1,closer/close,Chinese,绿色
1,equal/far,Chinese,绿色
2,closer/close,Chinese,黄灰色
1,equal/far,Chinese,紫色
1,further/split,Chinese,灰色
1,equal/far,Chinese,灰色
1,further/split,Chinese,土黄色
4,further/split,Chinese,重点是土吗
2,further/split,Chinese,泥黄色
3,closer/close,Chinese,最亮的绿色
1,further/split,Chinese,红色
1,equal/far,Chinese,紫色
1,equal/far,Chinese,绿色
1,equal/far,Chinese,土黃色
1,further/split,Chinese,绿色
1,further/split,Chinese,天蓝色
1,further/split,Chinese,紫色
2,further/split,Chinese,金秋色
3,further/split,Chinese,秋天落叶吗
1,further/split,Chinese,紫色
2,closer/close,Chinese,亮粉色
1,closer/close,Chinese,蓝色
1,equal/far,Chinese,绿色
2,closer/close,Chinese,粉蓝色
2,closer/close,Chinese,灰蓝色
1,closer/close,Chinese,黄绿色
1,equal/far,Chinese,灰色
1,equal/far,Chinese,黄色
1,closer/close,Chinese,灰黄色
2,closer/close,Chinese,亮绿色
1,further/split,Chinese,黄色
1,further/split,Chinese,灰色
1,closer/close,Chinese,深蓝色
2,closer/close,Chinese,黃色
1,equal/far,Chinese,灰色
1,equal/far,Chinese,灰色
1,further/split,Chinese,你好
1,further/split,Chinese,你好
3,further/split,Chinese,要选哪一个
2,further/split,Chinese,淡粉色
1,further/split,Chinese,深棕色
1,equal/far,Chinese,浅绿色
1,further/split,Chinese,深灰色
1,closer/close,Chinese,蓝绿色
1,closer/close,Chinese,哈
1,closer/close,Chinese,紫色
2,equal/far,Chinese,亮绿色
1,equal/far,Chinese,深绿色
4,equal/far,Chinese,看起来是蓝色吧
1,closer/close,Chinese,紫色
2,closer/close,Chinese,深的
2,closer/close,Chinese,中间的
2,closer/close,Chinese,不是粉色
1,equal/far,Chinese,黄
1,equal/far,Chinese,绿
1,equal/far,Chinese,粉
1,further/split,Chinese,深蓝
2,further/split,Chinese,亮蓝
1,closer/close,Chinese,哎呀
1,closer/close,Chinese,深蓝
1,closer/close,Chinese,草绿
1,equal/far,Chinese,粉色
1,closer/close,Chinese,黄绿色
1,further/split,Chinese,粉色
2,equal/far,Chinese,亮蓝
1,further/split,Chinese,深灰色
1,equal/far,Chinese,深紫色
1,closer/close,Chinese,蓝色
1,equal/far,Chinese,墨绿
1,closer/close,Chinese,灰色
1,further/split,Chinese,红
3,equal/far,Chinese,接近皮肤颜色
1,further/split,Chinese,青草
3,closer/close,Chinese,浪漫的颜色
3,equal/far,Chinese,秋天的草色
1,further/split,Chinese,草色
1,further/split,Chinese,深色
3,closer/close,Chinese,浪漫的颜色
1,closer/close,Chinese,深色
3,further/split,Chinese,深色的夕阳
3,closer/close,Chinese,发芽的草色
1,equal/far,Chinese,血色
1,further/split,Chinese,深色
2,further/split,Chinese,快速键入
1,further/split,Chinese,深色
1,equal/far,Chinese,大海
2,further/split,Chinese,公主色
1,closer/close,Chinese,烂漫
1,equal/far,Chinese,青草
2,closer/close,Chinese,同上
1,further/split,Chinese,浪漫
1,further/split,Chinese,亮色
1,further/split,Chinese,深色
1,equal/far,Chinese,深色
1,further/split,Chinese,亮色
1,closer/close,Chinese,血色
1,equal/far,Chinese,深色
1,closer/close,Chinese,深色
1,further/split,Chinese,深色
1,closer/close,Chinese,烂漫
1,closer/close,Chinese,淡色
1,equal/far,Chinese,青草
1,equal/far,Chinese,中色
3,equal/far,Chinese,难看的颜色
1,equal/far,Chinese,浪漫
1,equal/far,Chinese,难看
1,further/split,Chinese,中色
1,closer/close,Chinese,中色
2,closer/close,Chinese,难看色
1,equal/far,Chinese,青草
1,equal/far,Chinese,深色
1,further/split,Chinese,烂漫
1,equal/far,Chinese,难看
1,equal/far,Chinese,浪漫
3,closer/close,Chinese,天的色
1,closer/close,Chinese,嫩草
3,further/split,Chinese,天的色
1,further/split,Chinese,深色
1,closer/close,Chinese,深色
1,closer/close,Chinese,深色
1,further/split,Chinese,深色
1,equal/far,Chinese,难看
4,equal/far,Chinese,慢行交通灯的颜色
6,equal/far,Chinese,荷兰足球队最常穿的颜色
6,further/split,Chinese,美国国旗上的一种颜色
4,closer/close,Chinese,颜色最亮的一个
4,closer/close,Chinese,不是紫色不是浅灰
4,equal/far,Chinese,不是深蓝不是浅蓝
1,equal/far,Chinese,灰色
3,closer/close,Chinese,最亮的绿色
1,further/split,Chinese,紫色
1,equal/far,Chinese,蓝色
2,equal/far,Chinese,蓝灰色吗
1,equal/far,Chinese,天蓝色
1,further/split,Chinese,紫色
1,further/split,Chinese,深绿色
3,further/split,Chinese,草的颜色
2,further/split,Chinese,是的
1,equal/far,Chinese,紫色
3,equal/far,Chinese,是粉色吗
2,equal/far,Chinese,是的
1,further/split,Chinese,土黄色
4,equal/far,Chinese,不是蓝色不是粉色
1,equal/far,Chinese,蓝色
1,equal/far,Chinese,灰色
1,closer/close,Chinese,灰色
3,closer/close,Chinese,最亮的绿色
1,closer/close,Chinese,紫色
1,equal/far,Chinese,灰色
1,equal/far,Chinese,紫色
8,closer/close,Chinese,不是最亮的绿色第二亮的绿色
5,further/split,Chinese,颜色较深的绿色
2,further/split,Chinese,偏黄色
3,further/split,Chinese,偏绿不偏黄
2,further/split,Chinese,偏紫色
1,further/split,Chinese,蓝色
2,further/split,Chinese,不是蓝色
1,further/split,Chinese,黄色
1,further/split,Chinese,不是
1,further/split,Chinese,蓝色
1,further/split,Chinese,偏灰
2,further/split,Chinese,偏绿色
2,further/split,Chinese,不偏绿
4,further/split,Chinese,比较暗的蓝色
4,closer/close,Chinese,亮度居中的绿色
1,further/split,Chinese,绿色
4,closer/close,Chinese,亮度居中的蓝色
2,closer/close,Chinese,偏灰色
1,closer/close,Chinese,不是
3,further/split,Chinese,最亮的绿色
6,closer/close,Chinese,偏暗的蓝色 不是紫色
1,closer/close,Chinese,深蓝色
1,closer/close,Chinese,不是
1,closer/close,Chinese,浅蓝
4,closer/close,Chinese,深绿 不偏黄
3,closer/close,Chinese,最亮的紫色
1,equal/far,Chinese,蓝色
5,further/split,Chinese,不是红色不是亮绿色
2,further/split,Chinese,草绿色偏亮
2,further/split,Chinese,绿色偏黄
1,further/split,Chinese,黄色
2,further/split,Chinese,是的
1,closer/close,Chinese,浅蓝色
1,further/split,Chinese,灰色
1,equal/far,Chinese,紫色
1,equal/far,Chinese,紫色
1,equal/far,Chinese,绿色
1,equal/far,Chinese,草绿色
2,equal/far,Chinese,是的
3,closer/close,Chinese,最亮的粉红
2,further/split,Chinese,粉红色偏亮
1,equal/far,Chinese,绿色
5,equal/far,Chinese,灰色不是蓝色不是紫色
3,closer/close,Chinese,绿色偏淡蓝色
2,closer/close,Chinese,偏黄色
2,closer/close,Chinese,不偏黄
1,further/split,Chinese,深绿色
2,closer/close,Chinese,绿色偏亮
5,further/split,Chinese,青草的颜色但较浅
9,closer/close,Chinese,我这边有三个都比较深的颜色
1,closer/close,Chinese,黑色
6,closer/close,Chinese,要下雨时通常天空会
1,closer/close,Chinese,深灰色
2,closer/close,Chinese,再淡点
3,further/split,Chinese,青草的颜色
10,further/split,Chinese,我这边有两个绿色是不是更亮一点的那个
1,further/split,Chinese,对
2,equal/far,Chinese,最亮的
3,closer/close,Chinese,较不同的
2,further/split,Chinese,最亮的
5,further/split,Chinese,比较接近女生的颜色
1,further/split,Chinese,绿色
1,further/split,Chinese,不是
6,further/split,Chinese,另外两个都很像灰色
3,further/split,Chinese,是棕灰色
3,further/split,Chinese,比较粉的
2,equal/far,Chinese,粉红和
1,equal/far,Chinese,紫色
2,further/split,Chinese,不亮的
2,equal/far,Chinese,粉紫
1,equal/far,Chinese,黄
1,equal/far,Chinese,粉色
4,closer/close,Chinese,比较接近大地的
4,further/split,Chinese,不是亮的粉
3,closer/close,Chinese,偏蓝的绿
1,equal/far,Chinese,深蓝
1,equal/far,Chinese,大地
1,further/split,Chinese,亮粉
4,closer/close,Chinese,比较深的紫
6,closer/close,Chinese,不是偏粉的紫 不亮
1,further/split,Chinese,亮粉
1,closer/close,Chinese,灰色
2,closer/close,Chinese,不偏蓝
3,closer/close,Chinese,最沉的绿
4,further/split,Chinese,不偏粉的紫
3,closer/close,Chinese,绿色 不太棕
2,closer/close,Chinese,比较灰
1,equal/far,Chinese,灰色
1,equal/far,Chinese,亮粉
1,equal/far,Chinese,黄色
1,equal/far,Chinese,大地
1,further/split,Chinese,灰色
2,further/split,Chinese,最亮的
3,equal/far,Chinese,最亮的绿
1,further/split,Chinese,粉色
1,equal/far,Chinese,蓝色
7,closer/close,Chinese,三个中 排行第二亮的
1,equal/far,Chinese,绿色
5,further/split,Chinese,橙色 很橙的
1,equal/far,Chinese,紫色
1,closer/close,Chinese,浅粉色
4,further/split,Chinese,比较暗淡的绿
3,closer/close,Chinese,偏紫色 
2,closer/close,Chinese,偏粉红色
7,closer/close,Chinese,最普通彩盘中的亮青
1,further/split,Chinese,蓝色
9,closer/close,Chinese,不是最亮的 剩下两个中偏淡的
1,closer/close,Chinese,绿色
1,equal/far,Chinese,偏绿
10,closer/close,Chinese,不是最亮的 剩下两个中不偏淡的
1,further/split,Chinese,绿色
2,further/split,Chinese,亮蓝色
6,equal/far,Chinese,请问第一轮目标颜色是什么
1,closer/close,Chinese,你好
1,closer/close,Chinese,你好
1,closer/close,Chinese,浅绿色
1,equal/far,Chinese,绿色
1,equal/far,Chinese,茄子
1,closer/close,Chinese,草
3,equal/far,Chinese,草的颜色
2,closer/close,Chinese,色泽鲜艳
1,further/split,Chinese,忍者龟
2,equal/far,Chinese,轻茄子
3,closer/close,Chinese,绿色但不太绿
3,further/split,Chinese,绿色但不太绿
4,further/split,Chinese,非常明亮引起注意
3,closer/close,Chinese,明亮的紫色
1,closer/close,Chinese,老绿
2,equal/far,Chinese,灰蓝色
1,further/split,Chinese,浅绿色
2,further/split,Chinese,浅橙色
1,closer/close,Chinese,绿色
2,equal/far,Chinese,浅绿色灰色
1,equal/far,Chinese,紫色
2,further/split,Chinese,浅灰色
1,closer/close,Chinese,浅紫色
1,closer/close,Chinese,蓝色
1,further/split,Chinese,你好
1,further/split,Chinese,你好
2,further/split,Chinese,准备好了吗
2,further/split,Chinese,好了
3,further/split,Chinese,草的颜色
9,equal/far,Chinese,这颜色不接近天也不接近草
7,further/split,Chinese,接近草的颜色但比较深
3,closer/close,Chinese,这有点难
4,closer/close,Chinese,颜色不接近草
4,closer/close,Chinese,颜色不接近天空
3,equal/far,Chinese,草的颜色
5,further/split,Chinese,我们通常叫什么外线
3,further/split,Chinese,外线的颜色
5,closer/close,Chinese,比较深的外线颜色
2,further/split,Chinese,外线颜色
5,further/split,Chinese,比较光的外线颜色
6,further/split,Chinese,亮一点的草的颜色
7,equal/far,Chinese,不是草也不是太阳的颜色
7,equal/far,Chinese,不是天空也不是外线的颜色
3,equal/far,Chinese,太阳的颜色
5,further/split,Chinese,最接近草的颜色
2,further/split,Chinese,外线颜色
5,closer/close,Chinese,最浅的草的颜色
5,equal/far,Chinese,最接近太阳的颜色
5,further/split,Chinese,最接近草的颜色
4,closer/close,Chinese,粱美梦的颜色
3,equal/far,Chinese,草的颜色
8,closer/close,Chinese,接近草的颜色可是没那么绿
3,further/split,Chinese,亮的外线
2,further/split,Chinese,外线颜色
7,closer/close,Chinese,这里面最亮最深的颜色
3,equal/far,Chinese,天的颜色
5,further/split,Chinese,亮的草的颜色
3,closer/close,Chinese,土的颜色
5,closer/close,Chinese,最接近天的颜色
7,equal/far,Chinese,没那么亮的天的颜色
3,equal/far,Chinese,草的颜色
5,closer/close,Chinese,这里面颜色最中间
7,further/split,Chinese,不是天也不是图的颜色
1,further/split,Chinese,土
3,equal/far,Chinese,草的颜色
4,closer/close,Chinese,这里面颜色最深
3,equal/far,Chinese,草的颜色
4,equal/far,Chinese,浅的天空颜色
3,closer/close,Chinese,土的颜色
4,equal/far,Chinese,最接近太阳颜色
5,further/split,Chinese,最接近土的颜色
5,closer/close,Chinese,这里面最深的颜色
3,equal/far,Chinese,土的颜色
5,further/split,Chinese,亮的草的颜色
5,closer/close,Chinese,这里面亮度在中间
5,closer/close,Chinese,最接近天空的颜色
5,further/split,Chinese,最接近户的颜色
1,further/split,Chinese,湖
4,closer/close,Chinese,这里面颜色最浅
5,further/split,Chinese,深的草的颜色
3,equal/far,Chinese,土的颜色
5,closer/close,Chinese,这里面最亮的颜色
2,closer/close,Chinese,請描述
3,closer/close,Chinese,开始了吗
2,closer/close,Chinese,开始了
6,closer/close,Chinese,这个颜色是天空的颜色
3,further/split,Chinese,这是皮肤颜色
5,closer/close,Chinese,这是有点红色的颜色
3,closer/close,Chinese,是深红吗
2,closer/close,Chinese,还是粉红
1,closer/close,Chinese,深红
4,closer/close,Chinese,有点灰的浅绿色
1,equal/far,Chinese,紫色
1,further/split,Chinese,绿色
1,equal/far,Chinese,灰绿色
1,closer/close,Chinese,紫色
1,further/split,Chinese,灰色
6,further/split,Chinese,这是比较深色的那个绿色
1,further/split,Chinese,灰色
3,further/split,Chinese,算是灰色吧
1,equal/far,Chinese,神皇色
1,equal/far,Chinese,深黄色
1,closer/close,Chinese,绿色
3,further/split,Chinese,这个比较难
4,further/split,Chinese,比较浅色的紫色
4,further/split,Chinese,比较艳的绿色
3,equal/far,Chinese,浅粉红灰色
1,equal/far,Chinese,肉色
3,further/split,Chinese,艳的紫色
4,closer/close,Chinese,这里有三个绿色
10,closer/close,Chinese,一个艳绿色 和一个比较灰的绿色
5,closer/close,Chinese,是剩下的那个色
2,closer/close,Chinese,艳绿色
1,equal/far,Chinese,绿色
1,further/split,Chinese,紫色
5,closer/close,Chinese,比较蓝色的那个色
1,closer/close,Chinese,艳蓝色
2,closer/close,Chinese,艳紫色
1,equal/far,Chinese,黄色
2,further/split,Chinese,艳绿色
4,further/split,Chinese,有点粉红色的灰色
2,further/split,Chinese,浅橘色
2,closer/close,Chinese,艳绿色
1,further/split,Chinese,艳蓝色
4,further/split,Chinese,有点灰的绿色
1,equal/far,Chinese,灰色
1,further/split,Chinese,绿色
4,closer/close,Chinese,有点黄色的绿色
1,equal/far,Chinese,灰色
1,closer/close,Chinese,蓝色
1,equal/far,Chinese,蓝色
2,equal/far,Chinese,艳紫红色
1,further/split,Chinese,蓝色
1,equal/far,Chinese,黄色
5,closer/close,Chinese,比较有粉色的灰色
1,equal/far,Chinese,灰色
1,closer/close,Chinese,灰色
1,closer/close,Chinese,紫色
1,equal/far,Chinese,灰色
1,equal/far,Chinese,黄色
2,closer/close,Chinese,纯灰色
1,equal/far,Chinese,绿色
3,equal/far,Chinese,这是一个暖色调
6,equal/far,Chinese,这是一个接近天空的颜色
10,equal/far,Chinese,这是一个大多数女生都喜欢的可爱的颜色
7,equal/far,Chinese,这是一个接近秋冬枯草的颜色
3,equal/far,Chinese,军装的颜色
8,equal/far,Chinese,这是一个比天空蓝更深的颜色
11,closer/close,Chinese,这个颜色在你所看到的三个颜色里最亮
20,closer/close,Chinese,你会看到两种特别接近的大地色 相比之下深一些的颜色是你应该选的
13,closer/close,Chinese,两种颜色相近的大地色 选择有一些微黄的颜色
3,closer/close,Chinese,甚至泛着微绿
6,further/split,Chinese,这是一个红绿灯交通色很亮
5,further/split,Chinese,最接近大地的土色
6,closer/close,Chinese,特别接近塑料绿的绿色
3,closer/close,Chinese,深又显亮
7,further/split,Chinese,一个比较正标准的紫色 
1,further/split,Chinese,深蓝色
7,closer/close,Chinese,橘色 比较秋季暖的感觉
2,equal/far,Chinese,灰蓝色
1,equal/far,Chinese,绿色
4,further/split,Chinese,比较鲜艳的绿色
