tokens,Condition,Language,Message
1,further/split,Chinese,绿
1,equal/far,Chinese,玫瑰红
1,closer/close,Chinese,玫瑰红
1,further/split,Chinese,绿色
1,further/split,Chinese,暗
1,equal/far,Chinese,红
1,further/split,Chinese,绿
1,further/split,Chinese,红
1,further/split,Chinese,玫瑰
1,equal/far,Chinese,蓝
2,closer/close,Chinese,紫棕色
1,closer/close,Chinese,紫
1,closer/close,Chinese,粉
1,equal/far,Chinese,蓝色
1,further/split,Chinese,绿
1,further/split,Chinese,暗
1,closer/close,Chinese,暗绿色
1,closer/close,Chinese,你好
2,closer/close,Chinese,正灰色
1,closer/close,Chinese,你好
1,closer/close,Chinese,偏黄
3,closer/close,Chinese,啊知道了
5,further/split,Chinese,最亮最浅的蓝绿色
4,equal/far,Chinese,都对了吗
1,equal/far,Chinese,绿色
8,equal/far,Chinese,绿框就是对了 目前都对
7,equal/far,Chinese,哦哦 好的我们加油
1,equal/far,Chinese,绿色
1,further/split,Chinese,蓝
1,equal/far,Chinese,紫
1,equal/far,Chinese,棕色
5,equal/far,Chinese,你是大陆人吗
1,equal/far,Chinese,是
12,equal/far,Chinese,我不是 如果有地方不明白请见谅 哈哈哈
1,further/split,Chinese,紫色
12,further/split,Chinese,没关系我会尽量用最极端最简单的方式描述颜色
2,further/split,Chinese,好的
1,closer/close,Chinese,亮绿
1,equal/far,Chinese,灰蓝
3,equal/far,Chinese,这玩意不错
5,equal/far,Chinese,你应该不是第一次把
6,equal/far,Chinese,嗯我上次是倾听者
7,equal/far,Chinese,玩好了他们还邀请你玩儿
3,equal/far,Chinese,还给奖金哈哈哈
9,equal/far,Chinese,哈哈哈哈 你是透过什么网站玩的
5,equal/far,Chinese,我就是用亚马逊的
7,equal/far,Chinese,偶尔上来看看做一些小任务
7,equal/far,Chinese,那我们都是一样的吧
1,equal/far,Chinese,灰色
2,further/split,Chinese,正紫色
1,equal/far,Chinese,绿色
3,closer/close,Chinese,亮荧光绿
1,further/split,Chinese,绿色
4,further/split,Chinese,猜对了哈哈哈
6,closer/close,Chinese,正紫色不发粉不发灰
4,closer/close,Chinese,这个难倒我了
8,closer/close,Chinese,如果你看紫色程度中间的那个
3,closer/close,Chinese,对了哈哈哈哈
3,closer/close,Chinese,发灰的紫色
5,closer/close,Chinese,慢慢就有默契了
4,closer/close,Chinese,灰蓝色不是正蓝
1,further/split,Chinese,绿色
3,closer/close,Chinese,最亮的绿
1,further/split,Chinese,粉色
2,further/split,Chinese,大粉色
1,equal/far,Chinese,绿色
8,equal/far,Chinese,也不知道他们研究这个要干嘛
1,equal/far,Chinese,斯坦福
2,equal/far,Chinese,好奇怪
7,equal/far,Chinese,肯定各种人工智能和语言沟通有关
10,equal/far,Chinese,看见我们说有的没的烦死了哈哈哈哈
1,equal/far,Chinese,哈哈哈
4,equal/far,Chinese,大哥你怎么称呼
5,equal/far,Chinese,大姐 叫我小曼
3,equal/far,Chinese,啊对不起哈哈哈
6,equal/far,Chinese,突然忘了女孩也上网
2,equal/far,Chinese,木关系
6,equal/far,Chinese,你干这个岛什么时候
1,equal/far,Chinese,到
1,equal/far,Chinese,啥
2,equal/far,Chinese,这个游戏
2,equal/far,Chinese,还是亚马逊
9,equal/far,Chinese,这个游戏还能继续玩的是吧
2,equal/far,Chinese,是啊
9,equal/far,Chinese,其实很快的吧我们就一直玩吧哈哈哈
2,equal/far,Chinese,2美金
11,equal/far,Chinese,玩完你就得等他们发工资然后再来玩儿
2,equal/far,Chinese,好像是
4,equal/far,Chinese,我昨天玩儿的
4,equal/far,Chinese,哦必须等吗
3,equal/far,Chinese,不知道啊
6,equal/far,Chinese,先玩完这一次再说吧
4,equal/far,Chinese,能加你微信吗
6,equal/far,Chinese,不要报希望不是美女哈哈哈哈
3,equal/far,Chinese,大美女说啥
4,equal/far,Chinese,广东深圳是吧
1,equal/far,Chinese,嗯
1,further/split,Chinese,暗紫色
1,equal/far,Chinese,暗紫色
3,further/split,Chinese,啊错了
1,further/split,Chinese,绿色
3,further/split,Chinese,刚才掉线了
1,closer/close,Chinese,灰色
1,equal/far,Chinese,棕色
1,further/split,Chinese,粉红色
6,further/split,Chinese,发现我中文也很不错
2,closer/close,Chinese,才说
1,closer/close,Chinese,哈哈哈
3,closer/close,Chinese,我的妈呀
1,closer/close,Chinese,粉色
3,closer/close,Chinese,发粉的那个
1,closer/close,Chinese,棕色
1,equal/far,Chinese,蓝
1,equal/far,Chinese,蓝
1,further/split,Chinese,土黄色
1,further/split,Chinese,蓝
2,further/split,Chinese,灰粉色
1,equal/far,Chinese,蓝色
5,closer/close,Chinese,占了灰的粉色
2,closer/close,Chinese,灰粉色
9,closer/close,Chinese,橙色不是最亮的黄也不是偏土黄色
2,closer/close,Chinese,是吧
2,closer/close,Chinese,对哈哈哈
4,equal/far,Chinese,我才错了
6,equal/far,Chinese,就是看起来比较暗淡的那种
1,equal/far,Chinese,绿色
3,equal/far,Chinese,没关系才一分钱
1,equal/far,Chinese,呵呵
1,equal/far,Chinese,呵呵
5,equal/far,Chinese,美金兑换多少人民币呢
3,equal/far,Chinese,6分人民币
4,equal/far,Chinese,哈哈哈 同样不值钱
3,equal/far,Chinese,就乘以6
1,equal/far,Chinese,对
1,further/split,Chinese,蓝色
1,closer/close,Chinese,灰色
2,closer/close,Chinese,正灰色
2,closer/close,Chinese,褐色偏粉
2,equal/far,Chinese,灰蓝色
1,closer/close,Chinese,红色
1,further/split,Chinese,橄榄绿
1,equal/far,Chinese,灰色
1,equal/far,Chinese,紫色
2,further/split,Chinese,正紫色
1,closer/close,Chinese,你好
3,closer/close,Chinese,有人在吗
2,closer/close,Chinese,是的
3,closer/close,Chinese,最接近红
6,further/split,Chinese,不那么鲜艳的天空色
4,equal/far,Chinese,最接近天空颜色
2,further/split,Chinese,不是蓝
4,further/split,Chinese,有两个不是蓝
4,further/split,Chinese,比较深的草色
4,closer/close,Chinese,比较灰的紫色
1,equal/far,Chinese,紫色
5,further/split,Chinese,最接近草的颜色
4,closer/close,Chinese,鲜艳的橘子颜色
2,equal/far,Chinese,橘子颜色
5,equal/far,Chinese,最接近草的颜色
3,further/split,Chinese,鲜艳的桃色
4,further/split,Chinese,比较红的吗
2,further/split,Chinese,接近红
4,further/split,Chinese,比较灰的蓝色
5,closer/close,Chinese,最接近土壤的颜色
2,closer/close,Chinese,不带绿
3,further/split,Chinese,最接近红色
4,closer/close,Chinese,带点灰的紫色
5,equal/far,Chinese,不是蓝也不是红
5,equal/far,Chinese,可以直接说紫色吧
4,further/split,Chinese,带点灰的蓝
6,further/split,Chinese,总之不是橘色也不是绿色
3,equal/far,Chinese,最接近红色
1,equal/far,Chinese,棕色
1,equal/far,Chinese,是
3,equal/far,Chinese,草的颜色
3,closer/close,Chinese,最接近黄色
2,equal/far,Chinese,天空色
5,equal/far,Chinese,最接近草的颜色
3,further/split,Chinese,最接近黄色
3,equal/far,Chinese,最接近黄色
3,further/split,Chinese,鲜艳的橘色
2,closer/close,Chinese,你好棒
3,closer/close,Chinese,这轮很难
2,closer/close,Chinese,是的
6,closer/close,Chinese,最没有带灰的紫色
1,equal/far,Chinese,紫色
1,equal/far,Chinese,好棒
3,further/split,Chinese,最接近蓝色
1,further/split,Chinese,绿色
1,further/split,Chinese,哈哈
8,further/split,Chinese,最深的紫色不那么鲜艳的那个
3,equal/far,Chinese,明亮的天空
9,closer/close,Chinese,最粉的红色不鲜艳也没那么红
5,closer/close,Chinese,是比较暗的吗
2,closer/close,Chinese,是的
4,closer/close,Chinese,比较深的蓝色
5,closer/close,Chinese,不那么暗的紫色
8,closer/close,Chinese,暗一点的红色别混乱紫色噢
3,closer/close,Chinese,我喜欢你
5,closer/close,Chinese,最接近蓝色不是紫色
3,further/split,Chinese,暗的紫色
1,equal/far,Chinese,橘色
1,equal/far,Chinese,红色
1,equal/far,Chinese,灰色
3,equal/far,Chinese,你喜不喜欢我
3,closer/close,Chinese,最接近红色
1,closer/close,Chinese,灰色
6,further/split,Chinese,紫色不接近红的版本
1,equal/far,Chinese,橘色
1,further/split,Chinese,红色
3,closer/close,Chinese,最灰的紫色
5,further/split,Chinese,跟上轮一样的颜色
1,equal/far,Chinese,快好了
2,equal/far,Chinese,鲜草色
2,equal/far,Chinese,^^
1,closer/close,Chinese,黄色
3,closer/close,Chinese,最暗的红色
3,closer/close,Chinese,有点像土色吗
2,closer/close,Chinese,对的
1,closer/close,Chinese,谢谢
4,closer/close,Chinese,紫色 不带粉红
2,closer/close,Chinese,较深
1,equal/far,Chinese,蓝色
4,closer/close,Chinese,较深的灰色
3,further/split,Chinese,较亮的紫色
1,further/split,Chinese,青色
1,equal/far,Chinese,蓝
2,further/split,Chinese,绿草青
1,further/split,Chinese,不太亮
7,further/split,Chinese,你也可以问我问题噢
3,further/split,Chinese,更具体一点点
9,further/split,Chinese,普通的绿 不是比较带蓝的
7,closer/close,Chinese,不是灰 比较黯淡的蓝
1,further/split,Chinese,深蓝
1,further/split,Chinese,深蓝
2,equal/far,Chinese,灰紫
1,equal/far,Chinese,紫
1,further/split,Chinese,灰
1,closer/close,Chinese,粉红
1,further/split,Chinese,蓝
6,closer/close,Chinese,不是最浅的 带点蓝
1,further/split,Chinese,亮青
2,further/split,Chinese,不带灰
1,closer/close,Chinese,蓝
1,equal/far,Chinese,浅蓝
1,closer/close,Chinese,灰
1,further/split,Chinese,土黄
1,further/split,Chinese,蓝
1,further/split,Chinese,蓝
2,closer/close,Chinese,不是灰
2,closer/close,Chinese,不是青
1,equal/far,Chinese,灰蓝
1,closer/close,Chinese,粉红
4,further/split,Chinese,不是最深的蓝
3,further/split,Chinese,是浅灰蓝
1,closer/close,Chinese,蓝
2,closer/close,Chinese,不是最浅
2,closer/close,Chinese,不是最深
1,equal/far,Chinese,灰
1,equal/far,Chinese,自
1,equal/far,Chinese,紫
1,equal/far,Chinese,灰
1,equal/far,Chinese,橙
1,further/split,Chinese,紫
1,equal/far,Chinese,青
2,closer/close,Chinese,灰紫
3,closer/close,Chinese,最黯淡的
8,closer/close,Chinese,不是最亮也不傻最黯淡的
1,equal/far,Chinese,紫
2,closer/close,Chinese,灰紫
3,closer/close,Chinese,带较多灰
2,closer/close,Chinese,不带粉
1,equal/far,Chinese,青
1,further/split,Chinese,黄
1,equal/far,Chinese,蓝
4,further/split,Chinese,带灰的青
3,closer/close,Chinese,普通的紫
2,closer/close,Chinese,不带蓝
4,further/split,Chinese,比较暗淡的青
5,closer/close,Chinese,亮紫 不带灰
2,equal/far,Chinese,较深蓝
1,equal/far,Chinese,灰
3,further/split,Chinese,不带粉底紫
2,further/split,Chinese,的×
4,further/split,Chinese,不带粉的紫
2,further/split,Chinese,不明白
4,closer/close,Chinese,可以开始了吗
1,closer/close,Chinese,蓝色
1,equal/far,Chinese,赶快
1,equal/far,Chinese,绿色
1,closer/close,Chinese,绿色
3,closer/close,Chinese,亮还是暗
2,closer/close,Chinese, 亮
3,closer/close,Chinese, 亮绿色
3,closer/close,Chinese,偏灰绿蓝
1,closer/close,Chinese,绿
1,closer/close,Chinese,蓝
2,closer/close,Chinese,偏灰蓝紫
1,closer/close,Chinese,蓝
1,closer/close,Chinese,粉
3,closer/close,Chinese,偏黄紫粉红
1,closer/close,Chinese,粉红
1,closer/close,Chinese,绿
1,equal/far,Chinese,灰色
1,closer/close,Chinese,绿
6,closer/close,Chinese,都是绿说具体点
1,closer/close,Chinese,不光
1,equal/far,Chinese,橙子
1,further/split,Chinese,紫色
1,equal/far,Chinese,绿色
1,equal/far,Chinese,亮
1,further/split,Chinese,橙
1,closer/close,Chinese,绿
1,closer/close,Chinese,亮度
1,closer/close,Chinese,草
1,further/split,Chinese,紫
1,further/split,Chinese,两个
1,further/split,Chinese,偏土
1,further/split,Chinese,亮
4,further/split,Chinese,麻烦直接说亮紫
2,further/split,Chinese,不是紫色
2,further/split,Chinese,不是灰色
3,further/split,Chinese,暗灰亮灰
2,further/split,Chinese,亮灰
1,further/split,Chinese,棕色
1,further/split,Chinese,蓝色
2,further/split,Chinese, 亮
1,further/split,Chinese,浅蓝
1,further/split,Chinese,蓝
3,equal/far,Chinese,麻烦别分心
1,equal/far,Chinese,紫色
1,further/split,Chinese,紫色
1,equal/far,Chinese,灰色
1,equal/far,Chinese,紫色
1,equal/far,Chinese,灰
2,equal/far,Chinese,哪有灰
2,equal/far,Chinese,紅紫色
1,closer/close,Chinese,淡紫色
1,equal/far,Chinese,橙色
1,closer/close,Chinese,灰色
1,equal/far,Chinese,灰色
1,equal/far,Chinese,天藍色
2,equal/far,Chinese,黃色
1,closer/close,Chinese,藍色
2,further/split,Chinese,紅紫色
4,closer/close,Chinese,有點土的金色
1,further/split,Chinese,淡紫色
1,closer/close,Chinese,绿色
4,closer/close,Chinese,紫色不是很亮
1,equal/far,Chinese,灰色
1,further/split,Chinese,紫色
2,further/split,Chinese,黃色
1,equal/far,Chinese,天藍色
4,further/split,Chinese,藍色比較暗
2,further/split,Chinese,紅紫色
2,closer/close,Chinese,紅紫色
2,further/split,Chinese,黃色
4,further/split,Chinese,藍色比較暗
2,equal/far,Chinese,紅紫色
3,closer/close,Chinese,最暗的那個
1,equal/far,Chinese,橙色
1,further/split,Chinese,綠藍色
1,closer/close,Chinese,你好
3,closer/close,Chinese,你好你好你好
1,closer/close,Chinese,你好
1,equal/far,Chinese,你好
3,equal/far,Chinese,请用中文
1,closer/close,Chinese,好
4,closer/close,Chinese,好的哪一个
2,closer/close,Chinese,选择粉色
4,equal/far,Chinese,都是粉色吧
2,equal/far,Chinese,选择绿色
5,equal/far,Chinese,有两个绿色哪一个
1,equal/far,Chinese,黑暗
2,closer/close,Chinese,选择粉色
4,closer/close,Chinese,三个都是粉色
1,closer/close,Chinese,紫色
6,closer/close,Chinese,啊深的还是浅的
1,closer/close,Chinese,第一
7,closer/close,Chinese,排列不是跟你的不同吗
5,closer/close,Chinese,是不是比较灰的紫色
1,closer/close,Chinese,黑暗
1,further/split,Chinese,啊
1,further/split,Chinese,黄色
1,further/split,Chinese,绿色
9,equal/far,Chinese,上个目标是蓝色为什么说了绿色
1,equal/far,Chinese,红
3,equal/far,Chinese,那次也是
1,equal/far,Chinese,蓝色
1,closer/close,Chinese,绿色
1,further/split,Chinese,蓝色
6,further/split,Chinese,上个颜色肯定不是绿色
3,equal/far,Chinese,又来了
1,equal/far,Chinese,蓝色
2,closer/close,Chinese,鹦鹉绿
1,closer/close,Chinese,鹦鹉
3,closer/close,Chinese,这是什么意思
1,closer/close,Chinese,深绿色
1,closer/close,Chinese,红
3,closer/close,Chinese,哪一个红
1,closer/close,Chinese,黑暗
1,closer/close,Chinese,紫色
1,further/split,Chinese,棕色
1,further/split,Chinese,绿色
1,closer/close,Chinese,蓝色
1,closer/close,Chinese,深绿色
1,further/split,Chinese,粉
9,closer/close,Chinese,你是描述带着黑框的颜色吗
1,closer/close,Chinese,浅粉红色
1,closer/close,Chinese,深绿色
1,further/split,Chinese,绿色
1,equal/far,Chinese,绿色
1,equal/far,Chinese,绿色
11,equal/far,Chinese,诶你在做什么目标颜不是绿色是红色
1,equal/far,Chinese,绿色
5,equal/far,Chinese,诶你听懂我吗
1,closer/close,Chinese,深绿色
1,further/split,Chinese,绿色
1,equal/far,Chinese,黄色
1,closer/close,Chinese,深绿色
1,equal/far,Chinese,深绿色
1,equal/far,Chinese,绿色
1,further/split,Chinese,绿色
1,further/split,Chinese,黄色
1,equal/far,Chinese,绿色
1,equal/far,Chinese,绿色
1,further/split,Chinese,绿色
1,further/split,Chinese,粉
1,equal/far,Chinese,蓝色
1,equal/far,Chinese,蓝色
1,equal/far,Chinese,蓝色
1,closer/close,Chinese,蓝色
1,closer/close,Chinese,蓝色
1,further/split,Chinese,灰色
1,equal/far,Chinese,蓝色
1,equal/far,Chinese,粉
1,further/split,Chinese,灰色
1,further/split,Chinese,灰色
1,further/split,Chinese,深绿色
1,further/split,Chinese,灰色
1,further/split,Chinese,紫色
1,closer/close,Chinese,紫色
1,equal/far,Chinese,绿色
1,equal/far,Chinese,黄色
1,equal/far,Chinese,黄色
1,closer/close,Chinese,紫色
1,further/split,Chinese,蓝色
1,closer/close,Chinese,蓝色
1,closer/close,Chinese,灰色
1,closer/close,Chinese,灰色
1,closer/close,Chinese,棕色
1,closer/close,Chinese,深蓝
1,equal/far,Chinese,深蓝
1,closer/close,Chinese,深灰色
1,further/split,Chinese,深灰色
1,closer/close,Chinese,棕色
1,further/split,Chinese,紫色
1,equal/far,Chinese,黄色
1,further/split,Chinese,灰色
1,closer/close,Chinese,深绿色
1,further/split,Chinese,黄色
1,equal/far,Chinese,粉
1,closer/close,Chinese,淡黄色
1,equal/far,Chinese,绿色
1,closer/close,Chinese,紫色
1,closer/close,Chinese,深绿色
1,equal/far,Chinese,灰色
1,further/split,Chinese,棕色
1,further/split,Chinese,灰黃色
3,closer/close,Chinese,粉紫色 
1,equal/far,Chinese,绿色
1,further/split,Chinese,绿色
4,further/split,Chinese,最亮的那一個
1,closer/close,Chinese,灰色
1,further/split,Chinese,灰色
2,further/split,Chinese,有點綠
1,further/split,Chinese,棕色
1,closer/close,Chinese,紫色
4,closer/close,Chinese,都是紫色那一個
5,closer/close,Chinese,比較土的那一個
1,equal/far,Chinese,灰色
1,closer/close,Chinese,淡紫色
1,equal/far,Chinese,绿色
1,equal/far,Chinese,很鮮艷
1,equal/far,Chinese,灰狼
1,equal/far,Chinese,蓝
2,closer/close,Chinese,紅紫色
1,closer/close,Chinese,紫色
1,equal/far,Chinese,灰黃色
1,equal/far,Chinese,绿色
1,equal/far,Chinese,绿色
1,closer/close,Chinese,蓝色
3,closer/close,Chinese,比較暗的
1,equal/far,Chinese,灰色
1,closer/close,Chinese,棕色
1,further/split,Chinese,棕色
2,further/split,Chinese,亮粉色
3,closer/close,Chinese,綠色草地上
1,equal/far,Chinese,綠色
1,closer/close,Chinese,紫色
1,closer/close,Chinese,亮
1,closer/close,Chinese,红
1,equal/far,Chinese,灰色
1,further/split,Chinese,灰绿色
1,closer/close,Chinese,绿黄色
1,equal/far,Chinese,黄色
1,further/split,Chinese,蓝
1,further/split,Chinese,灰
1,further/split,Chinese,绿
1,closer/close,Chinese,紫色
1,equal/far,Chinese,绿
1,further/split,Chinese,绿
4,further/split,Chinese,有兩個那一個
6,further/split,Chinese,顏色比較重的那個
1,further/split,Chinese,绿色
1,further/split,Chinese,很鮮艷
2,further/split,Chinese,亮粉色
1,further/split,Chinese,灰色
2,closer/close,Chinese,最淡得那個
1,closer/close,Chinese,蓝灰色
2,closer/close,Chinese,最淡得那個
2,equal/far,Chinese,棕紫色
2,equal/far,Chinese,棕紫色
3,further/split,Chinese,亮 蓝色
1,further/split,Chinese,灰色
1,equal/far,Chinese,蓝色
4,equal/far,Chinese,红 亮粉色
2,equal/far,Chinese,红粉色
1,closer/close,Chinese,粉色
1,further/split,Chinese,绿
1,closer/close,Chinese,淡紫色
1,closer/close,Chinese,淡紫色
1,equal/far,Chinese,蓝色
1,equal/far,Chinese,蓝色
1,further/split,Chinese,蓝色
1,closer/close,Chinese,淡绿色
1,equal/far,Chinese,蓝色
1,equal/far,Chinese,灰色
1,equal/far,Chinese,红
1,equal/far,Chinese,蓝色
3,further/split,Chinese,亮绿色 
1,further/split,Chinese,淡绿色
1,equal/far,Chinese,蓝色
1,further/split,Chinese,紫色
1,equal/far,Chinese,紫色
1,closer/close,Chinese,灰色
1,closer/close,Chinese,淡蓝色
3,equal/far,Chinese,绿色 亮
1,further/split,Chinese,淡蓝色
1,equal/far,Chinese,蓝色
1,equal/far,Chinese,淡蓝色
1,closer/close,Chinese,紫色
1,further/split,Chinese,蓝色
1,equal/far,Chinese,浅褐色
1,further/split,Chinese,橙子
1,further/split,Chinese,绿色
1,equal/far,Chinese,橙子
1,further/split,Chinese,淡紫色
1,closer/close,Chinese,粉红色
1,closer/close,Chinese,淡紫色
1,closer/close,Chinese,淡紫色
1,closer/close,Chinese,淡紫色
1,closer/close,Chinese,淡紫色
2,further/split,Chinese,橙子色
4,closer/close,Chinese, 亮绿色 
1,further/split,Chinese,蓝色
1,further/split,Chinese,紫色
1,closer/close,Chinese,蓝紫色
1,equal/far,Chinese,红
1,further/split,Chinese,淡蓝色
1,equal/far,Chinese,淡蓝色
1,closer/close,Chinese,淡绿色
1,further/split,Chinese,蓝色
1,equal/far,Chinese,黄色
1,further/split,Chinese,黄色
1,equal/far,Chinese,紫色
1,closer/close,Chinese,淡紫色
1,closer/close,Chinese,黄色
1,further/split,Chinese,浅褐色
1,closer/close,Chinese,绿色
